Name,Mean (ps),2*Stdev (ps),Allocated,Copied,Peak Memory
All.Hermes Arrays,741483593,35246020,4159788,45487,94371840
All.Aeson Arrays,11917778125,757705608,71611877,1894402,94371840
All.Hermes Persons,27298212500,1783767326,128326530,23165815,133169152
All.Aeson Persons,81592350000,7021029842,344113276,119344071,227540992
All.Hermes Partial Twitter,139671191,6795986,286193,290,227540992
All.Aeson Partial Twitter,1735514843,153072828,12106874,104419,227540992
All.JsonStream Partial Twitter,1678708593,150606164,16295483,14398,227540992
All.Hermes Persons (Aeson Value),73573250000,5875827626,279943590,106028491,227540992
All.Hermes Persons (Aeson Value Fast),40384400000,2614578384,120184923,76224576,227540992
All.Aeson Persons (Aeson Value),65481375000,6503044694,272052526,96444139,250609664
All.Hermes Twitter (Aeson Value),1798566406,110720302,11260327,153702,250609664
All.Hermes Twitter (Aeson Value Fast),857383203,80170024,4930787,57510,250609664
All.Aeson Twitter (Aeson Value),1827878125,116684316,11882064,196097,250609664
